n_holders,parametro_dist,n_rodadas,reinveste_recompensa,rodada,gini
200,1.1,5,0.5,4,0.8198028294861359
200,1.1,5,0.5,5,0.8482644755329656
200,1.1,10,0.0,1,0.6456072503093346
200,1.1,10,0.0,2,0.6456072503093346
200,1.1,10,0.0,3,0.6456072503093346
200,1.1,10,0.0,4,0.6456072503093346
200,1.1,10,0.0,5,0.6456072503093346
200,1.1,10,0.0,6,0.6456072503093346
200,1.1,10,0.0,7,0.6456072503093346
200,1.1,10,0.0,8,0.6456072503093346
200,1.1,10,0.0,9,0.6456072503093346
200,1.1,10,0.0,10,0.6456072503093346
200,1.1,10,0.0,1,0.8760800401916735
200,1.1,10,0.0,2,0.8760800401916735
200,1.1,10,0.0,3,0.8760800401916735
200,1.1,10,0.0,4,0.8760800401916735
200,1.1,10,0.0,5,0.8760800401916735
200,1.1,10,0.0,6,0.8760800401916735
200,1.1,10,0.0,7,0.8760800401916735
200,1.1,10,0.0,8,0.8760800401916735
200,1.1,10,0.0,9,0.8760800401916735
200,1.1,10,0.0,10,0.8760800401916735
200,1.1,10,0.0,1,0.6217035175719339
200,1.1,10,0.0,2,0.6217035175719339
200,1.1,10,0.0,3,0.6217035175719339
200,1.1,10,0.0,4,0.6217035175719339
200,1.1,10,0.0,5,0.6217035175719339
200,1.1,10,0.0,6,0.6217035175719339
200,1.1,10,0.0,7,0.6217035175719339
200,1.1,10,0.0,8,0.6217035175719339
200,1.1,10,0.0,9,0.6217035175719339
200,1.1,10,0.0,10,0.6217035175719339
200,1.1,10,0.0,1,0.5916551449410119
200,1.1,10,0.0,2,0.5916551449410119
200,1.1,10,0.0,3,0.5916551449410119
200,1.1,10,0.0,4,0.5916551449410119
200,1.1,10,0.0,5,0.5916551449410119
200,1.1,10,0.0,6,0.5916551449410119
200,1.1,10,0.0,7,0.5916551449410119
200,1.1,10,0.0,8,0.5916551449410119
200,1.1,10,0.0,9,0.5916551449410119
200,1.1,10,0.0,10,0.5916551449410119
200,1.1,10,0.0,1,0.7338121095498895
200,1.1,10,0.0,2,0.7338121095498895
200,1.1,10,0.0,3,0.7338121095498895
200,1.1,10,0.0,4,0.7338121095498895
200,1.1,10,0.0,5,0.7338121095498895
200,1.1,10,0.0,6,0.7338121095498895
200,1.1,10,0.0,7,0.7338121095498895
200,1.1,10,0.0,8,0.7338121095498895
200,1.1,10,0.0,9,0.7338121095498895
200,1.1,10,0.0,10,0.7338121095498895
200,1.1,10,0.0,1,0.5463180851092801
200,1.1,10,0.0,2,0.5463180851092801
200,1.1,10,0.0,3,0.5463180851092801
200,1.1,10,0.0,4,0.5463180851092801
200,1.1,10,0.0,5,0.5463180851092801
200,1.1,10,0.0,6,0.5463180851092801
200,1.1,10,0.0,7,0.5463180851092801
200,1.1,10,0.0,8,0.5463180851092801
200,1.1,10,0.0,9,0.5463180851092801
200,1.1,10,0.0,10,0.5463180851092801
200,1.1,10,0.0,1,0.5742244880318341
200,1.1,10,0.0,2,0.5742244880318341
200,1.1,10,0.0,3,0.5742244880318341
200,1.1,10,0.0,4,0.5742244880318341
200,1.1,10,0.0,5,0.5742244880318341
200,1.1,10,0.0,6,0.5742244880318341
200,1.1,10,0.0,7,0.5742244880318341
200,1.1,10,0.0,8,0.5742244880318341
200,1.1,10,0.0,9,0.5742244880318341
200,1.1,10,0.0,10,0.5742244880318341
200,1.1,10,0.0,1,0.6878453038920176
200,1.1,10,0.0,2,0.6878453038920176
200,1.1,10,0.0,3,0.6878453038920176
200,1.1,10,0.0,4,0.6878453038920176
200,1.1,10,0.0,5,0.6878453038920176
200,1.1,10,0.0,6,0.6878453038920176
200,1.1,10,0.0,7,0.6878453038920176
200,1.1,10,0.0,8,0.6878453038920176
200,1.1,10,0.0,9,0.6878453038920176
200,1.1,10,0.0,10,0.6878453038920176
200,1.1,10,0.0,1,0.7162268533124754
200,1.1,10,0.0,2,0.7162268533124754
200,1.1,10,0.0,3,0.7162268533124754
